CH4 - temp_cond=80, molecular_weight=16.04
Wav (microns)	n	k
71.43 	1.274 	0.001D-3
41.67 	1.273 	1.353D-3
8.26 	1.272 	6.23D-3
8.13 	1.311 	1.00D-2
7.8 	1.305 	2.002D-2
7.69 	1.342 	7.499D-2
7.59 	1.258 	1.600D-1
3.57 	1.183 	7.249D-2
3.43 	1.284 	1.00D-2
3.37 	1.281	2.00D-2
3.33 	1.291 	4.00D-2
3.26 	1.227 	7.00D-3
1.953 	1.267 	3.00D-5
1.932 	1.267 	8.393D-7
1.241 	1.268 	1.476D-6
1.235 	1.268 	7.903D-8
1.014 	1.269 	1.573D-7
1.000 	1.269 	9.438D-7
0.9872 	1.269  	7.799D-7
0.9742 	1.269 	5.892D-7
0.8885 	1.269 	4.651D-7
0.8673 	1.270 	1.78D-6
0.8418 	1.270 	3.1D-7
0.7994 	1.270 	4.68D-8
0.7849 	1.270 	5.72D-8
0.7299 	1.271 	3.74D-8
0.7174 	1.271 	9.29D-8
0.7057 	1.271 	1.07D-7
0.6856 	1.271 	7.862D-9
0.6696 	1.272 	2.51D-9
0.6215 	1.272 	4.47D-9
0.5983 	1.273 	1.83D-7
0.5831 	1.273 	1.09D-9
0.4000 	1.273 	1.16D-9
0.1337 	1.281 	1.0D-7
0.1200 	1.660 	1.702D-1
0.1162 	1.456 	3.12D-1
0.1087 	1.442 	3.02D-1
0.1012 	1.476 	3.5D-1
0.1000 	1.417 	4.47D-1
0.0900 	1.420 	4.55D-1
0.0545 	1.196 	6.09D-1
0.0020 	0.865 	2.0D-1
