Nested Sampling Global Log-Evidence           :   -0.443335913931875751E+02  +/-    0.164787202903477897E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.443335913931875751E+02 +/-    0.164787202903477897E+00
Local Log-Evidence   -0.443335913931875751E+02 +/-    0.164787202903477897E+00

Dim No.       Mean        Sigma
   1    0.124227172106456464E+04    0.101760541335200557E+03
   2    0.204887689760065950E+01    0.436395683892978961E-01
   3   -0.799561329852767622E+00    0.398960558761194739E+00
   4    0.776668992673219183E+01    0.148434934149524356E+01
   5    0.318692512208455980E+01    0.145523884294170003E+01
   6   -0.214326121666328095E+01    0.177957096089689770E+01
   7   -0.775179840979662416E+01    0.339688467860836996E+01
   8    0.102812089247459348E+01    0.235064334858094658E-02
   9   -0.216393175562342810E+01    0.480720316872371101E+00
  10   -0.162914798724295462E+01    0.741014230347142200E+00
  11    0.151188722356048675E+04    0.911951622077090036E+02
  12   -0.993797029251621611E+00    0.432033843767787695E+00
  13    0.792096017435372346E+01    0.148555401002713161E+01
  14    0.314613664994508735E+01    0.145039430738089803E+01
  15   -0.214759415924640917E+01    0.179344430630395246E+01
  16   -0.765916944634059949E+01    0.352086627333414315E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134888881364288750E+04
   2    0.206365581229984407E+01
   3   -0.723396795241971979E+00
   4    0.637315724982150478E+01
   5    0.439728824884193159E+01
   6   -0.295501064430094784E+01
   7   -0.699940886134079854E+01
   8    0.102786940522918835E+01
   9   -0.223431297783552907E+01
  10   -0.841318211811479699E+00
  11    0.149322588915062988E+04
  12   -0.564013841650307102E+00
  13    0.829001962341346221E+01
  14    0.127895431033996920E+01
  15   -0.688347524300096936E+00
  16   -0.409328258829375713E+01

MAP Parameters
Dim No.        Parameter
   1    0.134888881364288750E+04
   2    0.206365581229984407E+01
   3   -0.723396795241971979E+00
   4    0.637315724982150478E+01
   5    0.439728824884193159E+01
   6   -0.295501064430094784E+01
   7   -0.699940886134079854E+01
   8    0.102786940522918835E+01
   9   -0.223431297783552907E+01
  10   -0.841318211811479699E+00
  11    0.149322588915062988E+04
  12   -0.564013841650307102E+00
  13    0.829001962341346221E+01
  14    0.127895431033996920E+01
  15   -0.688347524300096936E+00
  16   -0.409328258829375713E+01
