Nested Sampling Global Log-Evidence           :   -0.353851296230469643E+02  +/-    0.171899128295623066E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.353851296230469643E+02 +/-    0.171899128295623066E+00
Local Log-Evidence   -0.353851296230469643E+02 +/-    0.171899128295623066E+00

Dim No.       Mean        Sigma
   1    0.313687113838634502E+03    0.220440063069701111E+02
   2   -0.561150260435994852E+01    0.294699410402925821E+01
   3   -0.747888673726626063E+01    0.224171244725151997E+01
   4   -0.970325572878395981E+01    0.130354681882196011E+01
   5   -0.360968331792281827E+01    0.207867996760545098E+00
   6   -0.361621867421637901E+02    0.470311326259634566E+01
   7    0.106639686729801464E+01    0.879167502587557001E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.302284207047044049E+03
   2   -0.376335035991199263E+01
   3   -0.767288443755407812E+01
   4   -0.919826125000698802E+01
   5   -0.353376620691688892E+01
   6   -0.309212188501761283E+02
   7    0.106649015070218356E+01

MAP Parameters
Dim No.        Parameter
   1    0.302284207047044049E+03
   2   -0.376335035991199263E+01
   3   -0.767288443755407812E+01
   4   -0.919826125000698802E+01
   5   -0.353376620691688892E+01
   6   -0.309212188501761283E+02
   7    0.106649015070218356E+01
