Nested Sampling Global Log-Evidence           :   -0.545685325806461421E+02  +/-    0.164031642845301806E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.545685325806461421E+02 +/-    0.164031642845301806E+00
Local Log-Evidence   -0.545685325806461421E+02 +/-    0.164031642845301806E+00

Dim No.       Mean        Sigma
   1    0.345644597843391068E+03    0.275119730969065479E+02
   2   -0.585812634936634602E+01    0.315023333205714673E+01
   3   -0.318664635590755507E+01    0.604502808965741156E+00
   4   -0.971057777474422679E+01    0.134034861261195082E+01
   5   -0.247133996421425817E+01    0.263242650986591553E+00
   6   -0.377027645487840886E+02    0.424257368686696257E+01
   7    0.920127740927207838E+00    0.929631409887470093E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.396647787337628074E+03
   2   -0.200943635998371128E+01
   3   -0.264971221030614323E+01
   4   -0.114362082045224778E+02
   5   -0.222776045874218198E+01
   6   -0.306310611721568904E+02
   7    0.918237167420767886E+00

MAP Parameters
Dim No.        Parameter
   1    0.396647787337628074E+03
   2   -0.200943635998371128E+01
   3   -0.264971221030614323E+01
   4   -0.114362082045224778E+02
   5   -0.222776045874218198E+01
   6   -0.306310611721568904E+02
   7    0.918237167420767886E+00
