Nested Sampling Global Log-Evidence           :   -0.559915028095947562E+02  +/-    0.167116718786147145E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.559915028095947562E+02 +/-    0.167116718786147145E+00
Local Log-Evidence   -0.559915028095947562E+02 +/-    0.167116718786147145E+00

Dim No.       Mean        Sigma
   1    0.341427299973537117E+03    0.338750752842826373E+02
   2    0.374060704728161442E+00    0.437390814974890407E+00
   3   -0.146546650766544218E+00    0.202707634208516618E+00
   4    0.843519750942959590E+01    0.147134006012913576E+01
   5    0.405744010137561784E+01    0.123610500999300932E+01
   6   -0.153515602541160767E+01    0.628699661365635487E+00
   7   -0.282938437236045770E+01    0.156692761523972290E+01
   8    0.901175494459829030E+00    0.136721563276423160E-02
   9   -0.105297769295624088E+01    0.231217016687806121E+01
  10   -0.333683302006864491E+01    0.126465969263485922E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.309721182440776658E+03
   2    0.336119594014994583E+00
   3   -0.120636384467543545E+00
   4    0.892147511740420107E+01
   5    0.347180637082035970E+01
   6   -0.111512157098988407E+01
   7   -0.201037498300727702E+01
   8    0.901838930662099747E+00
   9   -0.481037617499029579E+01
  10   -0.405763854178815997E+01

MAP Parameters
Dim No.        Parameter
   1    0.309721182440776658E+03
   2    0.336119594014994583E+00
   3   -0.120636384467543545E+00
   4    0.892147511740420107E+01
   5    0.347180637082035970E+01
   6   -0.111512157098988407E+01
   7   -0.201037498300727702E+01
   8    0.901838930662099747E+00
   9   -0.481037617499029579E+01
  10   -0.405763854178815997E+01
