Nested Sampling Global Log-Evidence           :   -0.390746462963775798E-15  +/-    0.884020885458907940E-09

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.390746462963775798E-15 +/-    0.884020885458907940E-09
Local Log-Evidence   -0.390746462963775798E-15 +/-    0.884020885458907940E-09

Dim No.       Mean        Sigma
   1    0.102916720502376506E+04    0.539981351697400669E+03
   2   -0.608472127389907502E+01    0.344603132772761311E+01
   3   -0.601499838066100345E+01    0.350396845743823881E+01
   4   -0.588446707677841196E+01    0.335708864677200047E+01
   5   -0.623571039104461011E+01    0.349452083123109869E+01
   6   -0.351469528126716497E+02    0.580006837093083671E+01
   7    0.979748236536979511E+00    0.292480159048164379E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.127134290337562561E+04
   2   -0.588690805435180664E+01
   3   -0.928300666809082031E+01
   4   -0.102676427364349365E+02
   5   -0.804803824424743652E+01
   6   -0.403529810905456543E+02
   7    0.114992725849151611E+01

MAP Parameters
Dim No.        Parameter
   1    0.634716784954071045E+03
   2   -0.188148093223571777E+01
   3   -0.194927215576171875E+00
   4   -0.107613565921783447E+02
   5   -0.110793213844299316E+02
   6   -0.272961127758026123E+02
   7    0.106528079509735107E+01
