#wav 	 bestfit 	 low1sig 	 up1sig 	 low2sig 	 up2sig 
5.9727845060 0.0096666729 0.0096619341 0.0096728705 0.0096589945 0.0096755928
5.9136480258 0.0096572792 0.0096512794 0.0096660617 0.0096487275 0.0096699088
5.8550970552 0.0096772950 0.0096723100 0.0096832427 0.0096694864 0.0096856847
5.7971257972 0.0096575409 0.0096527578 0.0096640622 0.0096500162 0.0096672247
5.7397285121 0.0096559998 0.0096500953 0.0096647440 0.0096470242 0.0096688264
5.6828995169 0.0096556810 0.0096509176 0.0096620177 0.0096480695 0.0096651779
5.6266331851 0.0096548708 0.0096499783 0.0096611880 0.0096477949 0.0096645420
5.5709239456 0.0096502485 0.0096449776 0.0096570480 0.0096428588 0.0096605867
5.5157662828 0.0096356664 0.0096317693 0.0096406620 0.0096282082 0.0096435298
5.4611547354 0.0096352659 0.0096310224 0.0096410109 0.0096272778 0.0096447015
5.4070838965 0.0096364258 0.0096323024 0.0096418365 0.0096283692 0.0096454408
5.3535484124 0.0096265494 0.0096227721 0.0096319787 0.0096192228 0.0096351849
5.3005429825 0.0096239915 0.0096199708 0.0096288109 0.0096166612 0.0096309963
5.2480623589 0.0096159393 0.0096114316 0.0096202715 0.0096074168 0.0096220978
5.1961013455 0.0096174122 0.0096128796 0.0096223115 0.0096084034 0.0096241305
5.1446547975 0.0096145724 0.0096096062 0.0096190266 0.0096049672 0.0096206372
5.0937176213 0.0096069284 0.0096014385 0.0096112738 0.0095958651 0.0096130021
5.0432847736 0.0096071321 0.0096015518 0.0096109934 0.0095959098 0.0096132483
4.9933512610 0.0096026235 0.0095962617 0.0096064106 0.0095913725 0.0096089239
4.9439121396 0.0096022504 0.0095960312 0.0096063297 0.0095912487 0.0096086314
4.8949625144 0.0095990353 0.0095922444 0.0096028711 0.0095866062 0.0096061659
4.8464975390 0.0095974360 0.0095913068 0.0096014779 0.0095859582 0.0096053017
4.7985124149 0.0095979821 0.0095914452 0.0096017140 0.0095861144 0.0096055810
4.7510023910 0.0095963793 0.0095898010 0.0096003878 0.0095834853 0.0096043708
4.7039627633 0.0095969450 0.0095902974 0.0096010650 0.0095845756 0.0096047783
4.6573888746 0.0095967764 0.0095903739 0.0096010126 0.0095848593 0.0096044171
4.6112761135 0.0095932529 0.0095868665 0.0095977754 0.0095805510 0.0096018158
4.5656199143 0.0095938092 0.0095876429 0.0095983276 0.0095820707 0.0096013690
4.5204157567 0.0095962952 0.0095901410 0.0096006070 0.0095848886 0.0096037252
4.4756591651 0.0095963136 0.0095901945 0.0096005600 0.0095844077 0.0096029685
4.4313457080 0.0095987675 0.0095928437 0.0096023502 0.0095877671 0.0096062146
4.3874709980 0.0096006126 0.0095950444 0.0096051114 0.0095894618 0.0096108067
4.3440306911 0.0096014081 0.0095958531 0.0096067556 0.0095891622 0.0096144466
4.3010204863 0.0096029539 0.0095976860 0.0096084504 0.0095913747 0.0096163150
4.2584361250 0.0096055102 0.0096004806 0.0096106067 0.0095947550 0.0096176114
4.2162733911 0.0096061891 0.0096015975 0.0096095465 0.0095976077 0.0096133289
4.1745281100 0.0096064056 0.0096010471 0.0096096440 0.0095966571 0.0096112211
4.1331961485 0.0096100982 0.0096050512 0.0096132641 0.0095999739 0.0096151077
4.0922734144 0.0096129643 0.0096080389 0.0096160535 0.0096037380 0.0096177992
4.0517558558 0.0096175921 0.0096130168 0.0096206256 0.0096091557 0.0096223770
4.0116394612 0.0096258009 0.0096216874 0.0096288990 0.0096183397 0.0096301464
3.9719202586 0.0096337504 0.0096299169 0.0096368498 0.0096274568 0.0096385920
3.9325943155 0.0096410667 0.0096374022 0.0096440726 0.0096352340 0.0096460948
3.8936577381 0.0096499835 0.0096466001 0.0096535717 0.0096446412 0.0096554640
3.8551066714 0.0096590224 0.0096555931 0.0096624630 0.0096533757 0.0096643951
3.8169372984 0.0096473832 0.0096440313 0.0096509671 0.0096421090 0.0096530211
3.7791458400 0.0096684438 0.0096648224 0.0096722720 0.0096624923 0.0096739326
3.7417285544 0.0096672495 0.0096636930 0.0096711788 0.0096613047 0.0096728849
3.7046817371 0.0096749200 0.0096710567 0.0096787579 0.0096686025 0.0096805454
3.6680017199 0.0096818196 0.0096775141 0.0096858516 0.0096750796 0.0096877407
3.6316848712 0.0097036469 0.0096994583 0.0097075693 0.0096972107 0.0097098737
3.5957275952 0.0097147901 0.0097102999 0.0097184811 0.0097080132 0.0097210445
3.5601263319 0.0097215295 0.0097170535 0.0097252445 0.0097147220 0.0097284466
3.5248775563 0.0097303035 0.0097258776 0.0097341450 0.0097232402 0.0097372912
3.4899777785 0.0097462058 0.0097420965 0.0097509537 0.0097383118 0.0097545373
3.4554235431 0.0097542124 0.0097498007 0.0097591759 0.0097457094 0.0097629092
3.4212114288 0.0097504840 0.0097462836 0.0097551772 0.0097423243 0.0097583894
3.3873380483 0.0097441329 0.0097399528 0.0097483441 0.0097361223 0.0097517004
3.3538000479 0.0097662478 0.0097616716 0.0097712166 0.0097576973 0.0097759265
3.3205941068 0.0098187308 0.0098088336 0.0098266775 0.0097983684 0.0098346116
3.2877169374 0.0097249458 0.0097208657 0.0097286058 0.0097182199 0.0097319266
3.2551652846 0.0097508117 0.0097464787 0.0097553917 0.0097424602 0.0097588771
3.2229359253 0.0097556848 0.0097509455 0.0097603266 0.0097471763 0.0097641610
3.1910256686 0.0097524237 0.0097475386 0.0097567154 0.0097437051 0.0097605608
3.1594313551 0.0097307599 0.0097268747 0.0097346531 0.0097235220 0.0097378607
3.1281498565 0.0097020086 0.0096984911 0.0097052827 0.0096961553 0.0097076669
