#w (um) 	 lightcurve precision (ppm)
0.85852 	 262.5
0.90703 	 228.5
0.95552 	 205.2
1.00403 	 191.2
1.05252 	 182.6
1.10103 	 180.7
1.14952 	 176.8
1.19803 	 179.5
1.24652 	 185.0
1.29503 	 193.0
1.34353 	 201.8
1.39203 	 210.3
1.44053 	 231.3
1.48903 	 237.6
1.53753 	 247.5
1.58603 	 261.6
1.63453 	 276.3
1.68303 	 285.6
1.73153 	 309.7
1.78003 	 315.7
1.82853 	 334.3
1.87703 	 364.9
1.92553 	 374.4
1.97403 	 395.8
2.02253 	 403.1
2.07103 	 415.2
2.11953 	 434.5
2.16803 	 451.8
2.21653 	 469.2
2.26503 	 491.0
2.31353 	 513.0
2.36203 	 537.3
2.41053 	 562.4
2.45903 	 593.8
2.50753 	 614.9
2.55603 	 646.2
2.60453 	 670.9
2.65303 	 705.9
2.70153 	 735.8
2.75003 	 768.6
2.79174 	 956.3
